metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
for,Podo,Endo_G,Podo→Endo_G,eGFR,0.27866242021923066,0.000474545498230713,True,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,fibrosis,-0.019861368805618406,0.49473935944794634,False,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,age,-0.1569652325549079,0.014852664510710144,True,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,sex_num,0.6632619425612046,0.5607944285113311,False,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,is_DKD,7.839873439336058,0.0028217115244746297,True,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,is_HKD,10.964957023741814,0.00021909422179409505,True,0.9163546565697543
cit,Endo_G,Podo,Endo_G→Podo,eGFR,40.510374128134686,0.10104045747875523,False,0.5208856087893645
cit,Endo_G,Podo,Endo_G→Podo,fibrosis,0.83917387268668,0.9504502361978173,False,0.5208856087893645
cit,Endo_G,Podo,Endo_G→Podo,age,-46.19281281093892,0.08568523571347325,False,0.5208856087893645
cit,Endo_G,Podo,Endo_G→Podo,sex_num,-262.6859204865381,0.624558690040105,False,0.5208856087893645
cit,Endo_G,Podo,Endo_G→Podo,is_DKD,1155.381739769872,0.2038383669190253,False,0.5208856087893645
cit,Endo_G,Podo,Endo_G→Podo,is_HKD,1276.961411062548,0.12993794663484515,False,0.5208856087893645
acac,Podo,Endo_G,Podo→Endo_G,eGFR,4.336726707594174,0.23250818361055064,False,0.274017534862536
acac,Podo,Endo_G,Podo→Endo_G,fibrosis,-0.642824677321408,0.7589613304539041,False,0.274017534862536
acac,Podo,Endo_G,Podo→Endo_G,age,-1.4264183048177355,0.7015263053782546,False,0.274017534862536
acac,Podo,Endo_G,Podo→Endo_G,sex_num,-22.94049686656961,0.7808917043884138,False,0.274017534862536
acac,Podo,Endo_G,Podo→Endo_G,is_DKD,105.30811582038744,0.4359433020079475,False,0.274017534862536
acac,Podo,Endo_G,Podo→Endo_G,is_HKD,86.32065912675155,0.4776146460536502,False,0.274017534862536
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,eGFR,0.48515381177713984,0.08147809971313139,False,0.5450144711427174
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,fibrosis,-0.11240038024542053,0.46314098153820205,False,0.5450144711427174
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,age,-0.32376019090869845,0.2477989565119351,False,0.5450144711427174
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,sex_num,-0.27104461608845676,0.9634380704252842,False,0.5450144711427174
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,is_DKD,15.523485631665496,0.13411436317939163,False,0.5450144711427174
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,is_HKD,18.169700506365793,0.06409730728531626,False,0.5450144711427174
glu_L,Endo_G,Podo,Endo_G→Podo,eGFR,90.29230928287001,0.11489552231995222,False,0.44057200209919045
glu_L,Endo_G,Podo,Endo_G→Podo,fibrosis,-25.142143526581187,0.4363003748869092,False,0.44057200209919045
glu_L,Endo_G,Podo,Endo_G→Podo,age,-41.39779501882904,0.46835246581508727,False,0.44057200209919045
